ARTICLE.TITLE	Test.statistic	N	ES.metric	ES.value	p.value	r	Replication..Statistic	Power	N.1	ES.metric.1	ES.value.1	p.value.1	r.1	direction	OSF.ID	Notes	Variance.loss	X.	X..1
21	Effects of fluency on psychological distance and mental construal (or why new york is a large city, but new york is a civilized jungle).	X^2(1, N=236)=3.83	236	phi	0.13	0.0503	0.127392360678818	X^2(1, N = 1146) = .387	>.95	1146	phi	0.02	0.53	0.0183765158579785	same	https://osf.io/kegmc/	could not find the original paper but found the original test statistics in the replication paper.	NA		
22	Why do implicit and explicit attitude tests diverge? the role of structural fit.	F(3, 70)=13.06	71	ΔR^2	0.09	7.3E-7	0.599046687249253	F(1, 176)=4.063	0.99	180	ΔR^2	0.0162	0.045	0.150214262666946	same	https://osf.io/rc6mv/	I was not sure what statistic they wanted to replicate, but I guess the interaction term Indirect*Social pressure. In the paper at p28 it says 'The inclusion of the interaction term in the second step produced a significant increment in R-squared, F(3, 70) = 13.06, p < .001, for a total R-squared of .37'	NA		
23	Sex differences in mate preferences revisited: Do people know what they initially desire in a romantic partner?	none	163	r	0.04	0.48	0.04	χ2(1) = 0.89	>.80	304	r	0.11	0.46	0.11	same	https://osf.io/ng6cc/	they test the difference in correlation between male and female, the original correlation were r = .19 and r = .16 for men and women, respectively, and the corresponding test statistics I found in the original paper at p.253.	NA		
24	The value heuristic in judgments of relative frequency.	X^2(1, N=56)=4.51	56	w	0.3386167	0.037	0.283788150361699	x^2(1, N = 51) = 1.57	0.677	51	w	0.19	0.21	-0.175454591634104	opposite	https://osf.io/q7f6w/	p .19 of the original paper	NA		
25	Selective exposure and information quantity: How different information quantities moderate decision makers' preference for consistent and inconsistent information.	X^2(1, N=52)=13.18	52	d	1.1653	2.8E-4	0.503449638456061	X^2(1, N=150) = 7.10	0.99	150	d	0.8136	0.0080	0.217562251627743	same	https://osf.io/v8vft/	key effect is interaction in control/no focus condition	NA		
26	Not so innocent: Does seeing one's own capacity for wrongdoing predict forgiveness?	F(1,41)=9.40	155	η^2	0.06	0.0038	0.431865646362311	F(1,131)=.018	0.822	135	η^2	0.0010	0.89	0.0117211647342689	?	https://osf.io/imrx2/	I got the results from the oriiginal paper by abstracting them from table 3 at p.506. There I looked at study 7 and then at the interaction gender*condition on vengefulness scores. The degrees of freedom I calculated myself from the N and de 2x2 design. I chose for the result on vengefulness instead of TRIM because that was mentioned in the replication paper and it matches the effectsize in column B.	NA		
27	Conflict-triggered goal shielding: Response conflicts attenuate background monitoring for prospective memory cues.	F(1, 38) = 6.21	40	η_p^2	0.14	0.0172	0.374787883913115	F(1, 93)=18.94, p<.001	0.9	95	η_p^2	0.17	3.5E-5	0.411336583016178	same	https://osf.io/bk53t/	test statistic can be found in the original paper at p29. But is also given in the replication paper.	NA		
28	Affective incoherence: When affective concepts and embodied reactions clash.	F(1, 131)=5.79	133	η^2	0.04	0.0179	0.205736859921539	F(1, 110) = .759	0.95	113	η^2	0.014	0.386	0.0827811346734329	same	https://osf.io/l8srm/	test statistic can be found in the original paper at p573. But is also given in the replication paper.	NA		
29	Precision of the anchor influences the amount of adjustment.	F(1, 55) = 6.88	59	w^2	0.02	0.0113	0.333441051330436		0.95	120					same	https://osf.io/aaudl/	Despite not being the key effect for the paper as a whole, the interaction effect for 4a is the key effect for this study. Waiting on Jesse to provide more than "no interaction"	NA		
30	1/f noise and effort on implicit measures of bias.	F(1, 68) = 5.52	71	f	0.25	0.0217	0.274010237849131	F(1,145)=.794	0.86	148	d	0.15	0.374	0.0737972919790546	same	https://osf.io/fejxb/	can be found on p 56 of original paper and is also given in the replication paper.	NA		
