WARNING	name	OSFid	stat.ori.string	stat.ori.type	stat.ori.N	stat.ori.N.recalc	stat.ori.df1	stat.ori.df2	stat.ori.ncp.p	alpha.ori	stat.ori.ncp	stat.ori.ncp.ciL	stat.ori.ncp.ciU	stat.ori.ncp.ci.type	stat.ori.crit	stat.ori.ncp.p.recalc	prediction.ori	stat.ori.crit.p	stat.ori.H0	stat.ori.H1	stat.ori.decideNP	ES.ori.type	ES.ori.value	ES.ori.value.recalc	ES.ori.d	ES.ori.d.ciL	ES.ori.d.ciU	ES.ori.r	ES.ori.r.ciL	ES.ori.r.ciU	aprioriPOW.ori	posthocPOW.ori	aprioriSEV.ori	posthocSEV.ori	stat.rep.string	stat.rep.type	stat.rep.N	stat.rep.N.recalc	stat.rep.df1	stat.rep.df2	stat.rep.ncp.p	alpha.rep	stat.rep.ncp	stat.rep.ncp.ciL	stat.rep.ncp.ciU	stat.rep.ncp.ci.type	stat.rep.crit	stat.rep.ncp.p.recalc	prediction.rep	stat.rep.crit.p	stat.rep.H0	stat.rep.H1	stat.rep.decideNP	ES.rep.type	ES.rep.value	ES.rep.value.recalc	ES.rep.d	ES.rep.d.ciL	ES.rep.d.ciU	ES.rep.r	ES.rep.r.ciL	ES.rep.r.ciU	aprioriPOW.rep	posthocPOW.rep	aprioriSEV.rep	posthocSEV.rep
11	MISSING TEST INFO: prediction:directed/undirected, samples:dependent/independent/equalN/equalVar, factor:Nlevels/between/within, effect:interaction/main/planned contrast/random/fixed, posthoc: yes/no/correction	Creating social connection through inferential reproduction: Loneliness and perceived agency in gadgets, gods, and greyhounds.	https://osf.io/yuybh/	F(4,108)=3.67	F	57	0	4	108	0.0077	0.05	3.67	1.15840978540628	30.5356262505771	symmetric	2.45576681652287	0.992345153218902	greater	0.95	FALSE	TRUE	Reject H0	η^2	0.12	NA	3.8314488121336	2.1525889393066	11.0518100328547	0.886491532778157	0.732595350618322	0.98401719100972	unknown	0.205227088311578	unknown	0	F(4,150)=.58	F	78	0	4	150	0.68	0.05	0.58	0	5.50068019238095	asymmetric	2.43196505641226	0.322418776984076	greater	0.95	TRUE	FALSE	Accept H0	η_p^2	0.02	0	1.52315462117278	0	4.69070578586249	0.605878376899965	0	0.91987496090353	0.95	0.205227088311578	unknown	0
12	MISSING TEST INFO: prediction:directed/undirected, samples:dependent/independent/equalN/equalVar, factor:Nlevels/between/within, effect:interaction/main/planned contrast/random/fixed, posthoc: yes/no/correction	With a clean conscience: Cleanliness reduces the severity of moral judgments.	https://osf.io/apidb/	F(1,41)=7.81	F	44	0	1	41	0.0079	0.05	7.81	0.520042274452139	23.3259156956057	symmetric	4.07854573129129	0.992133033309514	greater	0.95	FALSE	TRUE	Reject H0	η_p^2	0.16	NA	5.58927544499285	1.44227913311139	9.65938211183421	0.941537371547424	0.584913292812924	0.979230094679932	unknown	0.297827404797198	unknown	0	F(1,124)=0.001	F	126	0	1	124	0.97	0.05	0.001	0	NA	asymmetric	3.91754977998734	0.0251762774624058	greater	0.95	TRUE	FALSE	Accept H0	d	0.02	0	0.0632455532033676	0	NA	0.0316069770620507	0	NA	0.99	0.297827404797198	unknown	0
13	MISSING TEST INFO: prediction:directed/undirected, samples:dependent/independent/equalN/equalVar, factor:Nlevels/between/within, effect:interaction/main/planned contrast/random/fixed, posthoc: yes/no/correction	Opening the mind to close it: Considering a message in light of important values increases message processing and later resistance to change.	https://osf.io/2gx4k/	F(1,257)=9.39	F	261	0	1	257	0.0024	0.05	9.39	1.17347018294554	25.3930371478994	symmetric	3.87789631657269	0.997585994571988	greater	0.95	FALSE	TRUE	Reject H0	η_p^2	0.042	NA	6.12862137841782	2.16653657522373	10.0783008782035	0.950659565375352	0.734783145980717	0.980872682445347	unknown	0.299083555362868	unknown	0	F(1,247)=.49	F	251	0	1	247	0.49	0.05	0.49	0	5.44406926686075	asymmetric	3.87938228383563	0.515413929518859	greater	0.95	TRUE	FALSE	Accept H0	η_p^2	0.0020	0	1.4	0	4.66650587350354	0.573462344363328	0	0.919140115529593	0.92	0.299083555362868	unknown	0
14	MISSING TEST INFO: prediction:directed/undirected, samples:dependent/independent/equalN/equalVar, factor:Nlevels/between/within, effect:interaction/main/planned contrast/random/fixed, posthoc: yes/no/correction	Temporal selection is suppressed, delayed, and diffused during the attentional blink.	https://osf.io/rzjvn/	F(18,660)=16.31	F	12	0	18	660	1e-12	0.05	16.31	207.785321782239	354.476571383185	symmetric	1.61950381687363	1	greater	0.95	FALSE	TRUE	Reject H0	η_p^2	0.308	NA	8.07712820252347	28.8295211047453	37.6550964084909	0.970685286227674	0.997602321202963	0.998592446939208	unknown	0.15771857757708	unknown	0	F(18,660)=12.98	F	12	0	18	660	1e-12	0.05	12.98	157.09206148412	285.021438432601	symmetric	1.61950381687363	1	greater	0.95	FALSE	TRUE	Reject H0	η^2	0.261	0	7.20555341386073	25.0672744018267	33.765155911537	0.96357108807496	0.996832268587955	0.998250348650175	>.95	0.15771857757708	unknown	0
15	MISSING TEST INFO: prediction:directed/undirected, samples:dependent/independent/equalN/equalVar, factor:Nlevels/between/within, effect:interaction/main/planned contrast/random/fixed, posthoc: yes/no/correction	Adaptive memory: The comparative value of survival processing.	https://osf.io/jhkpe/	F(1,23)=5.7	F	24	0	1	23	0.0256	0.05	5.7	NA	19.7223365110616	symmetric	4.27934430914465	0.974429543653549	greater	0.95	FALSE	TRUE	Reject H0	η_p^2	0.2	NA	4.77493455452533	NA	8.88196746471446	0.922359077939127	NA	0.97557311027788	unknown	0.29186691461729	unknown	0	F(1,37)=8.08	F	38	0	1	37	0.007	0.05	8.08	0.571147399227159	23.8993638350606	symmetric	4.10545589723597	0.99275745207572	greater	0.95	FALSE	TRUE	Reject H0	η_p^2	0.18	0	5.68506816142076	1.51148589041004	9.77739512039084	0.943328066692437	0.602928254551533	0.979713392450859	>.99	0.29186691461729	unknown	0
16	MISSING TEST INFO: prediction:directed/undirected, samples:dependent/independent/equalN/equalVar, factor:Nlevels/between/within, effect:interaction/main/planned contrast/random/fixed, posthoc: yes/no/correction	Accounting for occurrences: A new view of the use of contingency information in causal judgment.	https://osf.io/rhbqj/	F(1,36)=22.88	F	37	0	1	36	2.9e-05	0.05	22.88	6.29946681736449	49.0819801977212	symmetric	4.11316527681289	0.999970922065068	greater	0.95	FALSE	TRUE	Reject H0	η_p^2	0.427	NA	9.56660859448112	5.01974772966311	14.0117065624029	0.978838062755442	0.928979920448006	0.989966028912647	unknown	0.29186691461729	unknown	0	F(1,37)=6.57	F	38	0	1	37	0.015	0.05	6.57	0.218561214002704	21.0849835908536	symmetric	4.10545589723597	0.985429154047599	greater	0.95	FALSE	TRUE	Reject H0	η_p^2	0.15	0	5.12640224719052	0.93501061812731	9.18367760558996	0.931611294316901	0.423509222176216	0.977097930003816	>.99	0.29186691461729	unknown	0
17	MISSING TEST INFO: prediction:directed/undirected, samples:dependent/independent/equalN/equalVar, factor:Nlevels/between/within, effect:interaction/main/planned contrast/random/fixed, posthoc: yes/no/correction	Attractor dynamics and semantic neighborhood density: Processing is slowed by near neighbors and speeded by distant neighbors.	https://osf.io/rvkc5/	F(1,21)=17.3	F	22	0	1	21	4e-04	0.05	17.3	3.23771167694324	41.5856661359562	symmetric	4.32479374318304	0.999556082449629	greater	0.95	FALSE	TRUE	Reject H0	η_p^2	0.452	NA	8.31865373723417	3.5987284848642	12.8973898345295	0.972293778267058	0.874084427959539	0.988189212877532	unknown	0.289510903489345	unknown	0	F(1,29)=8.064	F	30	0	1	29	0.008	0.05	8.064	0.517531301726107	24.0969562614123	symmetric	4.18296428905827	0.991831085213237	greater	0.95	FALSE	TRUE	Reject H0	η_p^2	0.218	0	5.67943659177563	1.43879296874305	9.81773013713706	0.943225017354159	0.583982028306473	0.979874752562523	0.995	0.289510903489345	unknown	0
18	MISSING TEST INFO: prediction:directed/undirected, samples:dependent/independent/equalN/equalVar, factor:Nlevels/between/within, effect:interaction/main/planned contrast/random/fixed, posthoc: yes/no/correction	An attention-based associative account of adjacent and nonadjacent dependency learning.	https://osf.io/vmz2e/	F(1,20)=20.79	F	24	0	1	20	2e-04	0.05	20.79	4.45651937196468	48.0599736154889	symmetric	4.35124350332929	0.999809577847647	greater	0.95	FALSE	TRUE	Reject H0	η_p^2	0.51	NA	9.1192104921424	4.22209396956756	13.8650602040509	0.976784207852695	0.903732807982316	0.989755921830318	unknown	0.284586847645156	unknown	0	F(1,20)=17.35	F	24	0	1	20	0.00048	0.05	17.35	3.19194831749319	41.8735606039324	symmetric	4.35124350332929	0.999522070253062	greater	0.95	FALSE	TRUE	Reject H0	η_p^2	0.46	0	8.33066623986341	3.57320490176155	12.9419566687472	0.9723703446699	0.872609557936716	0.988268992630458	>.99	0.284586847645156	unknown	0
19	MISSING TEST INFO: prediction:directed/undirected, samples:dependent/independent/equalN/equalVar, factor:Nlevels/between/within, effect:interaction/main/planned contrast/random/fixed, posthoc: yes/no/correction	Head up, foot down: Object words orient attention to the objects' typical location.	https://osf.io/vwnit/	F(1,17)=40.19	F	18	0	1	17	7.4e-06	0.05	40.19	11.6542371952302	84.2443288412347	symmetric	4.45132177246813	0.999992598856808	greater	0.95	FALSE	TRUE	Reject H0	η^2	0.7	NA	12.6791166884764	6.82766056427241	18.3569418848821	0.987786547127019	0.959674469016008	0.994117203518278	unknown	0.285344112871593	unknown	0	F(1,21)=0.001	F	22	0	1	21	0.97	0.05	0.001	0	NA	asymmetric	4.32479374318304	0.0249284924266251	greater	0.95	TRUE	FALSE	Accept H0	η_p^2	<0.001	0	0.0632455532033676	0	NA	0.0316069770620507	0	NA	>.99	0.285344112871593	unknown	0
20	MISSING TEST INFO: prediction:directed/undirected, samples:dependent/independent/equalN/equalVar, factor:Nlevels/between/within, effect:interaction/main/planned contrast/random/fixed, posthoc: yes/no/correction	Individual differences in the regulation of intergroup bias: The role of conflict monitoring and neural signals for control.	https://osf.io/wkgpq/	F(1,31)=5.14	F	48	0	1	31	0.0305	0.05	5.14	NA	18.3975530926325	symmetric	4.15961509803175	0.969496808527656	greater	0.95	FALSE	TRUE	Reject H0	η_p^2	0.16	NA	4.53431361950185	NA	8.57847377862344	0.914950026224711	NA	0.973882490816924	unknown	0.296061372952323	unknown	0	F(1,73)=0.432	F	75	0	1	73	0.513	0.05	0.432	0	5.22774253422407	asymmetric	3.97203754380521	0.486923761202785	greater	0.95	TRUE	FALSE	Accept H0	η_p^2	0.0060	0	1.3145341380124	0	4.5728514230069	0.549250377927618	0	0.916203128398462	>.99	0.296061372952323	unknown	0
21	MISSING TEST INFO: prediction:directed/undirected, samples:dependent/independent/equalN/equalVar, factor:Nlevels/between/within, effect:interaction/main/planned contrast/random/fixed, posthoc: yes/no/correction	Effects of fluency on psychological distance and mental construal (or why new york is a large city, but new york is a civilized jungle).	https://osf.io/kegmc/	X^2(1,N=236)=3.83	X^2	236	0	1	NA	0.0503	0.05	3.83	0	12.9736265401958	asymmetric	3.84145882069412	0.949657067240112	greater	0.95	TRUE	FALSE	Accept H0	phi	0.13	NA	NA	0	NA	NA	0	3.60189207781074	unknown	0.0499999999999999	unknown	0	X^2(1,N=1146)=.387	X^2	1146	0	1	NA	0.53	0.05	0.387	0	5.05049009564413	asymmetric	3.84145882069412	0.466119440636354	greater	0.95	TRUE	FALSE	Accept H0	phi	0.02	0	1.58911468473481	0	NA	NA	0	2.2473295476285	>.95	0.0499999999999999	unknown	0
22	MISSING TEST INFO: prediction:directed/undirected, samples:dependent/independent/equalN/equalVar, factor:Nlevels/between/within, effect:interaction/main/planned contrast/random/fixed, posthoc: yes/no/correction	Why do implicit and explicit attitude tests diverge? the role of structural fit.	https://osf.io/rc6mv/	F(3,70)=13.06	F	71	0	3	70	7.3e-07	0.05	13.06	14.5272269544831	69.2925681762459	symmetric	2.73554145091296	0.999999274913801	greater	0.95	FALSE	TRUE	Reject H0	ΔR^2	0.09	NA	7.22772439983706	7.62291990105709	16.6484315388863	0.963782259987036	0.967262632299101	0.992861392638773	unknown	0.146772729554307	unknown	0	F(1,176)=4.063	F	180	0	1	176	0.045	0.05	4.063	NA	15.8729360367476	symmetric	3.89483797945851	0.954646299492192	greater	0.95	FALSE	TRUE	Reject H0	ΔR^2	0.0162	0	4.03137693598602	NA	7.96817069012647	0.895817304530884	NA	0.969914167293862	0.99	0.298572963441582	unknown	0
23	MISSING TEST INFO: prediction:directed/undirected, samples:dependent/independent/equalN/equalVar, factor:Nlevels/between/within, effect:interaction/main/planned contrast/random/fixed, posthoc: yes/no/correction	Sex differences in mate preferences revisited: Do people know what they initially desire in a romantic partner?	https://osf.io/ng6cc/	none	unknown	163	0	0	NA	0.48	0.05	0	NA	NA	unknown	NA	NA	not equal	0.05	NA	NA	unknown	r	0.04	NA	NA	NA	NA	NA	NA	NA	unknown	NA	unknown	0	X^2(1)=0.89	X^2		0	1	NA	0.46	0.05	0.89	0	6.68862532441297	asymmetric	3.84145882069412	0.654522692095483	greater	0.95	TRUE	FALSE	Accept H0	r	0.11	0	5.68890467169528	0	NA	NA	0	2.58623767747919	>.80	0.0499999999999999	unknown	0
24	MISSING TEST INFO: prediction:directed/undirected, samples:dependent/independent/equalN/equalVar, factor:Nlevels/between/within, effect:interaction/main/planned contrast/random/fixed, posthoc: yes/no/correction	The value heuristic in judgments of relative frequency.	https://osf.io/q7f6w/	X^2(1,N=56)=4.51	X^2	56	0	1	NA	0.037	0.05	4.51	0	14.2018158978061	asymmetric	3.84145882069412	0.966302759273491	greater	0.95	FALSE	TRUE	Reject H0	w	0.3386167	NA	NA	0	NA	NA	0	3.76852967320229	unknown	0.0499999999999999	unknown	0	X^2(1,N=51)=1.57	X^2	51	0	1	NA	0.21	0.05	1.57	0	8.39660355407622	asymmetric	3.84145882069412	0.789792986290064	greater	0.95	TRUE	FALSE	Accept H0	w	0.19	0	NA	0	NA	NA	0	2.89768934740704	0.677	0.0499999999999999	unknown	0
25	MISSING TEST INFO: prediction:directed/undirected, samples:dependent/independent/equalN/equalVar, factor:Nlevels/between/within, effect:interaction/main/planned contrast/random/fixed, posthoc: yes/no/correction	Selective exposure and information quantity: How different information quantities moderate decision makers' preference for consistent and inconsistent information.	https://osf.io/v8vft/	X^2(1,N=52)=13.18	X^2	52	0	1	NA	0.00028	0.05	13.18	2.79044330785768	31.2524712139826	symmetric	3.84145882069412	0.999717047243562	greater	0.95	FALSE	TRUE	Reject H0	d	1.1653	NA	NA	NA	NA	NA	1.67046200431428	5.59039097147799	unknown	0.0499999999999999	unknown	0	X^2(1,N=150)=7.10	X^2	150	0	1	NA	0.008	0.05	7.1	0.487160221989344	21.3864303927323	symmetric	3.84145882069412	0.99229160481558	greater	0.95	FALSE	TRUE	Reject H0	d	0.8136	0	NA	1.94928371138364	NA	NA	0.697968639689022	4.62454650671093	0.99	0.0499999999999999	unknown	0
26	MISSING TEST INFO: prediction:directed/undirected, samples:dependent/independent/equalN/equalVar, factor:Nlevels/between/within, effect:interaction/main/planned contrast/random/fixed, posthoc: yes/no/correction	Not so innocent: Does seeing one's own capacity for wrongdoing predict forgiveness?	https://osf.io/imrx2/	F(1,41)=9.40	F	155	0	1	41	0.0038	0.05	9.4	0.959136915886781	26.1912337025453	symmetric	4.07854573129129	0.996169324290599	greater	0.95	FALSE	TRUE	Reject H0	η^2	0.06	NA	6.13188388670236	1.95871071461488	10.235474332447	0.950708238023714	0.699693612601457	0.981439474133677	unknown	0.297962302637098	unknown	0	F(1,131)=.018	F	135	0	1	131	0.89	0.05	0.018	0	1.52181272468156	asymmetric	3.91342771809633	0.106521267905184	greater	0.95	TRUE	FALSE	Accept H0	η^2	0.0010	0	0.268328157299975	0	2.46723547695112	0.132972662153381	0	0.776826781502986	0.822	0.297962302637098	unknown	0
27	MISSING TEST INFO: prediction:directed/undirected, samples:dependent/independent/equalN/equalVar, factor:Nlevels/between/within, effect:interaction/main/planned contrast/random/fixed, posthoc: yes/no/correction	Conflict-triggered goal shielding: Response conflicts attenuate background monitoring for prospective memory cues.	https://osf.io/bk53t/	F(1,38)=6.21	F	40	0	1	38	0.0172	0.05	6.21	0.147080290122584	20.383259857555	symmetric	4.09817173088084	0.982817536212848	greater	0.95	FALSE	TRUE	Reject H0	η_p^2	0.14	NA	4.98397431775085	0.767020964831038	9.02956474201387	0.928064515429229	0.358080218771093	0.976337260222635	unknown	0.296985324959865	unknown	0	F(1,93)=18.94,p<.001	F	95	0	1	93	3.5e-05	0.05	18.94	5.21792521562394	40.9399383283439	symmetric	3.94340884585916	0.999965419158652	greater	0.95	FALSE	TRUE	Reject H0	η_p^2	0.17	0	8.70402205879558	4.56855566481309	12.7968649798838	0.974602251508757	0.916064762913346	0.988006264587043	0.9	0.296985324959865	unknown	0
