title	authors	doi	journal	volume	issue	pages	X.	descriptors	oldfilename	newfilename	file.location	authors.fullnames	link.to.abstract	lookup.code
11	The intermixed-blocked effect in human perceptual learning is not the consequence of trial spacing.	C Mitchell, S Nash, G Hall	10.1037/0278-7393.34.1.237	JEPLMC	34	1	237-42		Attention, Color Perception, Discrimination Learning, Field Dependence-Independence, Humans, Memory, Short-Term, Mental Recall, Pattern Recognition, Visual, Practice (Psychology), Psychophysics	2008.JEP LMC/34_1_237.pdf	JEPLMC/JEPLMC-34-1-237.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-1-237.pdf	Chris Mitchell, Scott Nash, Geoffrey Hall	NA	JEPLMC-34-1-237
12	When does between-sequence phonological similarity promote irrelevant sound disruption?	JE Marsh, F Vachon, DM Jones	10.1037/0278-7393.34.1.243	JEPLMC	34	1	243-8		Attention, Humans, Mental Recall, Phonetics, Psychoacoustics, Semantics, Serial Learning, Speech Perception, Verbal Learning	2008.JEP LMC/34_1_243.pdf	JEPLMC/JEPLMC-34-1-243.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-1-243.pdf	John E Marsh, François Vachon, Dylan M Jones	NA	JEPLMC-34-1-243
13	Semantic interference in a delayed naming task: Evidence for the response exclusion hypothesis.	N Janssen, W Schirm, BZ Mahon, A Caramazza	10.1037/0278-7393.34.1.249	JEPLMC	34	1	249-56		Attention, Conflict (Psychology), Field Dependence-Independence, Humans, Inhibition (Psychology), Pattern Recognition, Visual, Reaction Time, Reading, Semantics	2008.JEP LMC/34_1_249.pdf	JEPLMC/JEPLMC-34-1-249.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-1-249.pdf	Niels Janssen, Walter Schirm, Bradford Z Mahon, Alfonso Caramazza	NA	JEPLMC-34-1-249
14	Binding of multidimensional context information as a distinctive characteristic of remember judgments.	T Meiser, C Sattler, K Weisser	10.1037/0278-7393.34.1.32	JEPLMC	34	1	32-49		Association Learning, Attention, Awareness, Humans, Judgment, Mental Recall, Orientation, Reading, Retention (Psychology), Sex Factors, Speech Perception, Stochastic Processes, Verbal Learning, Voice	2008.JEP LMC/34_1_32.pdf	JEPLMC/JEPLMC-34-1-32.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-1-32.pdf	Thorsten Meiser, Christine Sattler, Kerstin Weisser	NA	JEPLMC-34-1-32
15	Contextual effects on reading aloud: Evidence for pathway control.	M Reynolds, D Besner	10.1037/0278-7393.34.1.50	JEPLMC	34	1	50-64		Attention, Humans, Phonetics, Reaction Time, Reading, Semantics, Speech, Writing	2008.JEP LMC/34_1_50.pdf	JEPLMC/JEPLMC-34-1-50.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-1-50.pdf	Michael Reynolds, Derek Besner	NA	JEPLMC-34-1-50
16	Attractor dynamics and semantic neighborhood density: Processing is slowed by near neighbors and speeded by distant neighbors.	D Mirman, JS Magnuson	10.1037/0278-7393.34.1.65	JEPLMC	34	1	65-79		Association Learning, Attention, Humans, Inhibition (Psychology), Orientation, Reaction Time, Reading, Semantics	2008.JEP LMC/34_1_65.pdf	JEPLMC/JEPLMC-34-1-65.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-1-65.pdf	Daniel Mirman, James S Magnuson	NA	JEPLMC-34-1-65
17	An attention-based associative account of adjacent and nonadjacent dependency learning.	S Pacton, P Perruchet	10.1037/0278-7393.34.1.80	JEPLMC	34	1	80-96		Association Learning, Attention, Field Dependence-Independence, Humans, Orientation, Pattern Recognition, Visual, Problem Solving, Reproducibility of Results	2008.JEP LMC/34_1_80.pdf	JEPLMC/JEPLMC-34-1-80.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-1-80.pdf	Sébastien Pacton, Pierre Perruchet	NA	JEPLMC-34-1-80
18	A single-system account of the relationship between priming, recognition, and fluency.	CJ Berry, DR Shanks, RN Henson	10.1037/0278-7393.34.1.97	JEPLMC	34	1	97-111		Adult, Attention, Cues, Decision Making, Female, Humans, Judgment, Male, Memory, Short-Term, Models, Statistical, Psychomotor Performance, Reaction Time, Reading, Retention (Psychology), Serial Learning, Signal Detection, Psychological, Speech, Verbal Learning	2008.JEP LMC/34_1_97.pdf	JEPLMC/JEPLMC-34-1-97.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-1-97.pdf	Christopher J Berry, David R Shanks, Richard N A Henson	NA	JEPLMC-34-1-97
19	Prime diagnosticity in short-term repetition priming: Is primed evidence discounted, even when it reliably indicates the correct answer?	CT Weidemann, DE Huber, RM Shiffrin	10.1037/0278-7393.34.2.257	JEPLMC	34	2	257-81		Attention, Choice Behavior, Color Perception, Data Interpretation, Statistical, Humans, Memory, Short-Term, Paired-Associate Learning, Reaction Time, Semantics	2008.JEP LMC/34_2_257.pdf	JEPLMC/JEPLMC-34-2-257.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-2-257.pdf	Christoph T Weidemann, David E Huber, Richard M Shiffrin	NA	JEPLMC-34-2-257
20	Age of acquisition and word frequency effects in picture naming: A dual-task investigation.	K Dent, RA Johnston, GW Humphreys	10.1037/0278-7393.34.2.282	JEPLMC	34	2	282-301		Adolescent, Adult, Attention, Child, Child, Preschool, Female, Humans, Infant, Language Development, Male, Mental Recall, Neural Networks (Computer), Pattern Recognition, Visual, Phonetics, Pitch Discrimination, Reaction Time, Refractory Period, Psychological, Semantics, Verbal Behavior, Verbal Learning	2008.JEP LMC/34_2_282.pdf	JEPLMC/JEPLMC-34-2-282.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-2-282.pdf	Kevin Dent, Robert A Johnston, Glyn W Humphreys	NA	JEPLMC-34-2-282
21	How does bilingualism improve executive control? a comparison of active and reactive inhibition mechanisms.	LS Colzato, MT Bajo, W van den Wildenberg, D Paolieri, S Nieuwenhuis, W La Heij, B Hommel	10.1037/0278-7393.34.2.302	JEPLMC	34	2	302-12		Adult, Attention, Color Perception, Cues, Female, Functional Laterality, Humans, Inhibition (Psychology), Male, Multilingualism, Orientation, Pattern Recognition, Visual, Psychomotor Performance, Reaction Time	2008.JEP LMC/34_2_302.pdf	JEPLMC/JEPLMC-34-2-302.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-2-302.pdf	Lorenza S Colzato, Maria Teresa Bajo, Wery van den Wildenberg, Daniela Paolieri, Sander Nieuwenhuis, Wido La Heij, Bernhard Hommel	NA	JEPLMC-34-2-302
22	R2|How does bilingualism improve executive control? a comparison of active and reactive inhibition mechanisms.	LS Colzato, MT Bajo, W van den Wildenberg, D Paolieri, S Nieuwenhuis, W La Heij, B Hommel	10.1037/0278-7393.34.2.302	JEPLMC	34	2	302-12		Adult, Attention, Color Perception, Cues, Female, Functional Laterality, Humans, Inhibition (Psychology), Male, Multilingualism, Orientation, Pattern Recognition, Visual, Psychomotor Performance, Reaction Time	2008.JEP LMC/34_2_302.pdf	JEPLMC/JEPLMC-34-2-302.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-2-302.pdf	Lorenza S Colzato, Maria Teresa Bajo, Wery van den Wildenberg, Daniela Paolieri, Sander Nieuwenhuis, Wido La Heij, Bernhard Hommel	NA	JEPLMC-34-2-302
23	Processing idiomatic expressions: Effects of semantic compositionality.	P Tabossi, R Fanari, K Wolf	10.1037/0278-7393.34.2.313	JEPLMC	34	2	313-27		Adult, Comprehension, Female, Humans, Judgment, Language, Male, Psycholinguistics, Reading, Semantics	2008.JEP LMC/34_2_313.pdf	JEPLMC/JEPLMC-34-2-313.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-2-313.pdf	Patrizia Tabossi, Rachele Fanari, Kinou Wolf	NA	JEPLMC-34-2-313
24	Holistic processing of faces: Perceptual and decisional components.	JJ Richler, I Gauthier, MJ Wenger, TJ Palmeri	10.1037/0278-7393.34.2.328	JEPLMC	34	2	328-42		Adolescent, Adult, Attention, Cues, Decision Making, Discrimination (Psychology), Face, Female, Humans, Judgment, Male, Orientation, Pattern Recognition, Visual, Perceptual Distortion, Problem Solving, Psychophysics, Reaction Time	2008.JEP LMC/34_2_328.pdf	JEPLMC/JEPLMC-34-2-328.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-2-328.pdf	Jennifer J Richler, Isabel Gauthier, Michael J Wenger, Thomas J Palmeri	NA	JEPLMC-34-2-328
25	Priming addition facts with semantic relations.	M Bassok, SF Pedigo, AT Oskarsson	10.1037/0278-7393.34.2.343	JEPLMC	34	2	343-52		Adult, Attention, Female, Humans, Male, Mathematics, Mental Recall, Paired-Associate Learning, Problem Solving, Reaction Time, Semantics	2008.JEP LMC/34_2_343.pdf	JEPLMC/JEPLMC-34-2-343.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-2-343.pdf	Miriam Bassok, Samuel F Pedigo, An T Oskarsson	NA	JEPLMC-34-2-343
26	Tracing attention and the activation flow of spoken word planning using eye movements.	A Roelofs	10.1037/0278-7393.34.2.353	JEPLMC	34	2	353-68		Association Learning, Attention, Color Perception, Computer Simulation, Eye Movements, Field Dependence-Independence, Humans, Pattern Recognition, Visual, Phonetics, Reaction Time, Reading, Semantics, Verbal Behavior	2008.JEP LMC/34_2_353.pdf	JEPLMC/JEPLMC-34-2-353.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-2-353.pdf	Ardi Roelofs	NA	JEPLMC-34-2-353
27	Orienting attention in visual working memory reduces interference from memory probes.	T Makovski, R Sussman, YV Jiang	10.1037/0278-7393.34.2.369	JEPLMC	34	2	369-80		Adolescent, Adult, Attention, Color Perception, Cues, Discrimination Learning, Female, Humans, Inhibition (Psychology), Male, Memory, Short-Term, Orientation, Pattern Recognition, Visual, Psychophysics, Reaction Time, Retention (Psychology)	2008.JEP LMC/34_2_369.pdf	JEPLMC/JEPLMC-34-2-369.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-2-369.pdf	Tal Makovski, Rachel Sussman, Yuhong V Jiang	NA	JEPLMC-34-2-369
28	Semantic effects in naming perceptual identification but not in delayed naming: Implications for models and tasks.	LH Wurm, SR Seaman	10.1037/0278-7393.34.2.381	JEPLMC	34	2	381-98		Attention, Comprehension, Concept Formation, Decision Making, Humans, Judgment, Memory, Short-Term, Perceptual Distortion, Psychoacoustics, Psycholinguistics, Reaction Time, Semantics, Speech Perception, Verbal Behavior	2008.JEP LMC/34_2_381.pdf	JEPLMC/JEPLMC-34-2-381.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-2-381.pdf	Lee H Wurm, Sean R Seaman	NA	JEPLMC-34-2-381
29	Multidimensional visual statistical learning.	NB Turk-Browne, PJ Isola, BJ Scholl, TA Treat	10.1037/0278-7393.34.2.399	JEPLMC	34	2	399-407		Association Learning, Color Perception, Discrimination Learning, Humans, Motion Perception, Orientation, Pattern Recognition, Visual, Perceptual Masking, Probability Learning, Problem Solving, Psychophysics	2008.JEP LMC/34_2_399.pdf	JEPLMC/JEPLMC-34-2-399.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-2-399.pdf	Nicholas B Turk-Browne, Phillip J Isola, Brian J Scholl, Teresa A Treat	NA	JEPLMC-34-2-399
30	Intentional forgetting is easier after two "shots" than one.	L Sahakyan, PF Delaney, ER Waldum	10.1037/0278-7393.34.2.408	JEPLMC	34	2	408-14		Attention, Humans, Inhibition (Psychology), Intention, Mental Recall, Paired-Associate Learning, Psycholinguistics, Semantics, Verbal Learning	2008.JEP LMC/34_2_408.pdf	JEPLMC/JEPLMC-34-2-408.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-2-408.pdf	Lili Sahakyan, Peter F Delaney, Emily R Waldum	NA	JEPLMC-34-2-408
31	Body- and environmental-stabilized processing of spatial knowledge.	W Mou, X Li, TP McNamara	10.1037/0278-7393.34.2.415	JEPLMC	34	2	415-21		Adult, Female, Humans, Imagination, Kinesthesis, Male, Mental Recall, Orientation, Pattern Recognition, Visual, Psychophysics, Social Environment, Space Perception, Walking	2008.JEP LMC/34_2_415.pdf	JEPLMC/JEPLMC-34-2-415.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-2-415.pdf	Weimin Mou, Xiaoou Li, Timothy P McNamara	NA	JEPLMC-34-2-415
32	Reading aloud: Spelling-sound translation uses central attention.	S O'Malley, MG Reynolds, JA Stolz, D Besner	10.1037/0278-7393.34.2.422	JEPLMC	34	2	422-9		Attention, Humans, Mental Recall, Phonetics, Reaction Time, Reading, Refractory Period, Psychological, Semantics, Verbal Behavior, Verbal Learning	2008.JEP LMC/34_2_422.pdf	JEPLMC/JEPLMC-34-2-422.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-2-422.pdf	Shannon O'Malley, Michael G Reynolds, Jennifer A Stolz, Derek Besner	NA	JEPLMC-34-2-422
33	Across-notation automatic numerical processing.	D Ganor-Stern, J Tzelgov	10.1037/0278-7393.34.2.430	JEPLMC	34	2	430-7		Association Learning, Attention, Automatism [psychology], Comprehension, Discrimination (Psychology), Humans, Multilingualism, Paired-Associate Learning, Pattern Recognition, Visual, Problem Solving, Psychophysics, Reaction Time, Size Perception	2008.JEP LMC/34_2_430.pdf	JEPLMC/JEPLMC-34-2-430.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-2-430.pdf	Dana Ganor-Stern, Joseph Tzelgov	NA	JEPLMC-34-2-430
34	How to say no: Single-and dual-process theories of short-term recognition tested on negative probes.	K Oberauer	10.1037/0278-7393.34.3.439	JEPLMC	34	3	439-59		Adolescent, Adult, Association Learning, Attention, Color Perception, Cues, Discrimination Learning, Female, Humans, Male, Memory, Short-Term, Orientation, Reaction Time, Serial Learning	2008.JEP LMC/34_3_439.pdf	JEPLMC/JEPLMC-34-3-439.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-3-439.pdf	Klaus Oberauer	NA	JEPLMC-34-3-439
35	Stereotypes and retrieval-provoked illusory source recollections.	CS Dodson, J Darragh, A Williams	10.1037/0278-7393.34.3.460	JEPLMC	34	3	460-77		Association Learning, Attention, Awareness, Humans, Illusions [psychology], Lawyers [psychology], Mental Recall, Physicians [psychology], Reading, Set (Psychology), Social Perception, Stereotyping	2008.JEP LMC/34_3_460.pdf	JEPLMC/JEPLMC-34-3-460.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-3-460.pdf	Chad S Dodson, James Darragh, Allison Williams	NA	JEPLMC-34-3-460
36	Working memory costs of task switching.	B Liefooghe, P Barrouillet, A Vandierendonck, V Camos	10.1037/0278-7393.34.3.478	JEPLMC	34	3	478-94		Attention, Color Perception, Decision Making, Discrimination Learning, Functional Laterality, Humans, Memory, Short-Term, Pattern Recognition, Visual, Perceptual Masking, Psychomotor Performance, Psychophysics, Reaction Time, Size Perception	2008.JEP LMC/34_3_478.pdf	JEPLMC/JEPLMC-34-3-478.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-3-478.pdf	Baptist Liefooghe, Pierre Barrouillet, André Vandierendonck, Valérie Camos	NA	JEPLMC-34-3-478
37	On the additive effects of stimulus quality and word frequency in lexical decision: Evidence for opposing interactive influences revealed by RT distributional analyses.	MJ Yap, DA Balota, CS Tse, D Besner	10.1037/0278-7393.34.3.495	JEPLMC	34	3	495-513		Adolescent, Adult, Attention, Decision Making, Discrimination Learning, Female, Humans, Male, Mental Recall, Phonetics, Reaction Time, Reading, Semantics	2008.JEP LMC/34_3_495.pdf	JEPLMC/JEPLMC-34-3-495.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-3-495.pdf	Melvin J Yap, David A Balota, Chi-Shing Tse, Derek Besner	NA	JEPLMC-34-3-495
38	The stroop effect: Why proportion congruent has nothing to do with congruency and everything to do with contingency.	JR Schmidt, D Besner	10.1037/0278-7393.34.3.514	JEPLMC	34	3	514-23		Attention, Color Perception, Conflict (Psychology), Cues, Discrimination Learning, Humans, Mental Recall, Probability Learning, Reaction Time, Reading, Semantics	2008.JEP LMC/34_3_514.pdf	JEPLMC/JEPLMC-34-3-514.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-3-514.pdf	James R Schmidt, Derek Besner	NA	JEPLMC-34-3-514
39	Learning correct responses and errors in the hebb repetition effect: Two faces of the same coin.	M Couture, D Lafond, S Tremblay	10.1037/0278-7393.34.3.524	JEPLMC	34	3	524-32		Adult, Attention, Discrimination Learning, Humans, Memory, Short-Term, Pattern Recognition, Visual, Practice (Psychology), Probability Learning, Retention (Psychology), Serial Learning	2008.JEP LMC/34_3_524.pdf	JEPLMC/JEPLMC-34-3-524.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-3-524.pdf	Mathieu Couture, Daniel Lafond, Sébastien Tremblay	NA	JEPLMC-34-3-524
40	The impact of stimulus and response variability on s-r correspondence effects.	P Wühr, R Biebl, U Ansorge	10.1037/0278-7393.34.3.533	JEPLMC	34	3	533-45		Adolescent, Adult, Association Learning, Attention, Conflict (Psychology), Female, Functional Laterality, Humans, Male, Memory, Short-Term, Orientation, Pitch Discrimination, Psychomotor Performance, Psychophysics, Reaction Time, Sound Localization	2008.JEP LMC/34_3_533.pdf	JEPLMC/JEPLMC-34-3-533.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-3-533.pdf	Peter Wühr, Rupert Biebl, Ulrich Ansorge	NA	JEPLMC-34-3-533
41	Bidirectional associations in multiplication memory: Conditions of negative and positive transfer.	JI Campbell, ND Robert	10.1037/0278-7393.34.3.546	JEPLMC	34	3	546-55		Adolescent, Adult, Female, Humans, Male, Mathematics, Mental Recall, Practice (Psychology), Problem Solving, Retention (Psychology), Transfer (Psychology)	2008.JEP LMC/34_3_546.pdf	JEPLMC/JEPLMC-34-3-546.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-3-546.pdf	Jamie I D Campbell, Nicole D Robert	NA	JEPLMC-34-3-546
42	Revisiting evidence for modularity and functional equivalence across verbal and spatial domains in memory.	K Guérard, S Tremblay	10.1037/0278-7393.34.3.556	JEPLMC	34	3	556-69		Acoustic Stimulation, Attention, Auditory Perception, Decision Making, Humans, Memory, Short-Term, Orientation, Pattern Recognition, Visual, Psychomotor Performance, Semantics, Serial Learning, Verbal Behavior, Verbal Learning	2008.JEP LMC/34_3_556.pdf	JEPLMC/JEPLMC-34-3-556.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-3-556.pdf	Katherine Guérard, Sébastien Tremblay	NA	JEPLMC-34-3-556
43	A simplified conjoint recognition paradigm for the measurement of gist and verbatim memory.	C Stahl, KC Klauer	10.1037/0278-7393.34.3.570	JEPLMC	34	3	570-86		Adolescent, Adult, Attention, Concept Formation, Discrimination Learning, Female, Humans, Male, Mental Recall, Middle Aged, Paired-Associate Learning, Psycholinguistics, Semantics, Verbal Learning	2008.JEP LMC/34_3_570.pdf	JEPLMC/JEPLMC-34-3-570.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-3-570.pdf	Christoph Stahl, Karl Christoph Klauer	NA	JEPLMC-34-3-570
44	Conceptual coherence affects phonological activation of context objects during object naming.	F Oppermann, JD Jescheniak, H Schriefers	10.1037/0278-7393.34.3.587	JEPLMC	34	3	587-601		Association Learning, Attention, Concept Formation, Conflict (Psychology), Discrimination Learning, Humans, Mental Recall, Pattern Recognition, Visual, Phonetics, Psycholinguistics, Semantics, Speech Perception, Verbal Behavior	2008.JEP LMC/34_3_587.pdf	JEPLMC/JEPLMC-34-3-587.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-3-587.pdf	Frank Oppermann, Jörg D Jescheniak, Herbert Schriefers	NA	JEPLMC-34-3-587
45	Spatial memory during progressive disorientation.	J Sargent, S Dopkins, J Philbeck, R Modarres	10.1037/0278-7393.34.3.602	JEPLMC	34	3	602-15		Adolescent, Adult, Attention, Female, Humans, Judgment, Male, Mental Recall, Orientation, Psychophysics, Sensory Deprivation, Social Environment, Space Perception, Visual Perception	2008.JEP LMC/34_3_602.pdf	JEPLMC/JEPLMC-34-3-602.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-3-602.pdf	Jesse Sargent, Stephen Dopkins, John Philbeck, Reza Modarres	NA	JEPLMC-34-3-602
46	Speed and accuracy of accessing information in working memory: An individual differences investigation of focus switching.	N Unsworth, RW Engle	10.1037/0278-7393.34.3.616	JEPLMC	34	3	616-30		Attention, Concept Formation, Discrimination Learning, Humans, Individuality, Intelligence, Memory, Short-Term, Orientation, Pattern Recognition, Visual, Problem Solving, Reaction Time, Serial Learning	2008.JEP LMC/34_3_616.pdf	JEPLMC/JEPLMC-34-3-616.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-3-616.pdf	Nash Unsworth, Randall W Engle	NA	JEPLMC-34-3-616
47	Supramodality effects in visual and haptic spatial processes.	Z Cattaneo, T Vecchi	10.1037/0278-7393.34.3.631	JEPLMC	34	3	631-42		Adult, Attention, Female, Humans, Imagination, Male, Memory, Short-Term, Orientation, Problem Solving, Psychophysics, Sensory Deprivation, Touch, Visual Perception	2008.JEP LMC/34_3_631.pdf	JEPLMC/JEPLMC-34-3-631.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-3-631.pdf	Zaira Cattaneo, Tomaso Vecchi	NA	JEPLMC-34-3-631
48	Feedback consistency effects in visual and auditory word recognition: Where do we stand after more than a decade?	JC Ziegler, A Petrova, L Ferrand	10.1037/0278-7393.34.3.643	JEPLMC	34	3	643-61		Attention, Decision Making, Feedback, Psychological, Humans, Language, Phonetics, Psycholinguistics, Reading, Semantics, Speech Perception, Writing	2008.JEP LMC/34_3_643.pdf	JEPLMC/JEPLMC-34-3-643.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-3-643.pdf	Johannes C Ziegler, Ana Petrova, Ludovic Ferrand	NA	JEPLMC-34-3-643
49	Attention and implicit memory in the category-verification and lexical decision tasks.	NW Mulligan, D Peterson	10.1037/0278-7393.34.3.662	JEPLMC	34	3	662-79		Attention, Color Perception, Concept Formation, Conflict (Psychology), Decision Making, Discrimination Learning, Generalization (Psychology), Humans, Mental Recall, Pattern Recognition, Visual, Reading, Semantics, Speech Perception, Verbal Behavior	2008.JEP LMC/34_3_662.pdf	JEPLMC/JEPLMC-34-3-662.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-3-662.pdf	Neil W Mulligan, Daniel Peterson	NA	JEPLMC-34-3-662
